,Graph,"Aug 08, 2022","Jul 08, 2022","Jun 08, 2022","May 08, 2022","Apr 08, 2022","Mar 08, 2022","Feb 08, 2022","Jan 08, 2022","Dec 08, 2021","Nov 08, 2021","Oct 08, 2021","Sep 08, 2021","Aug 08, 2021","Jul 08, 2021","Jun 08, 2021","May 08, 2021","Apr 08, 2021","Mar 08, 2021","Feb 08, 2021","Jan 08, 2021","Dec 08, 2020","Nov 08, 2020","Oct 08, 2020","Sep 08, 2020","Aug 08, 2020","Jul 08, 2020","Jun 08, 2020","May 08, 2020","Apr 08, 2020","Mar 08, 2020","Feb 08, 2020","Jan 08, 2020","Dec 08, 2019","Nov 08, 2019","Oct 08, 2019"
Accum Interest Shortfall,Tranche B,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche B,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+,BBB+
Ratings Order,Tranche B,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA
Original Balance,Tranche C,"14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00"
Current Balance,Tranche C,"14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00"
Factor,Tranche C,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche C,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500
Reported Coupon,Tranche C,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500,4.7500
Natural Credit Support,Tranche C,11.56,11.76,11.56,11.76,11.94,11.71,11.79,11.77,12.02,12.03,12.00,12.10,12.29,12.09,12.27,12.08,11.86,11.89,12.02,11.74,11.95,11.93,11.88,11.95,11.66,11.66,11.77,11.41,11.66,11.88,11.90,11.94,12.31,12.59,12.55
Credit Support (%),Tranche C,11.56,11.76,11.56,11.76,11.94,11.71,11.79,11.77,12.02,12.03,12.00,12.10,12.29,12.09,12.27,12.08,11.86,11.89,12.02,11.74,11.95,11.93,11.88,11.95,11.66,11.66,11.77,11.41,11.66,11.88,11.90,11.94,12.31,12.59,12.55
Credit Support,Tranche C,"34,013,969.94","34,595,073.14","33,992,115.91","34,579,979.50","35,126,459.12","34,445,398.11","34,661,997.12","34,604,132.30","35,347,197.07","35,395,820.24","35,296,292.86","35,596,754.39","36,141,700.26","35,545,064.00","36,079,622.24","35,534,944.50","34,889,264.56","34,985,206.52","35,349,975.74","34,530,910.11","35,142,907.02","35,087,975.61","34,952,770.75","35,144,606.62","34,305,344.86","34,290,869.21","34,603,860.62","33,553,105.76","34,299,425.12","34,938,552.87","35,011,201.43","35,106,826.40","36,218,109.14","37,026,728.62","36,904,283.21"
Reported Principal Payment,Tranche C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche C,"58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25","58,211.25"
Accum Writedown,Tranche C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche C,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche C,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB,BB
Ratings Order,Tranche C,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA
Original Balance,Tranche D,"14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00"
Current Balance,Tranche D,"14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00","14,706,000.00"
Factor,Tranche D,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche D,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200
Reported Coupon,Tranche D,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200,6.2200
Natural Credit Support,Tranche D,6.56,6.76,6.56,6.76,6.94,6.71,6.78,6.77,7.02,7.03,7.00,7.10,7.29,7.09,7.27,7.08,6.86,6.89,7.02,6.74,6.95,6.93,6.88,6.95,6.66,6.66,6.77,6.41,6.66,6.88,6.90,6.94,7.31,7.59,7.55
Credit Support (%),Tranche D,6.56,6.76,6.56,6.76,6.94,6.71,6.78,6.77,7.02,7.03,7.00,7.10,7.29,7.09,7.27,7.08,6.86,6.89,7.02,6.74,6.95,6.93,6.88,6.95,6.66,6.66,6.77,6.41,6.66,6.88,6.90,6.94,7.31,7.59,7.55
Credit Support,Tranche D,"19,307,969.94","19,889,073.14","19,286,115.91","19,873,979.50","20,420,459.12","19,739,398.11","19,955,997.12","19,898,132.30","20,641,197.07","20,689,820.24","20,590,292.86","20,890,754.39","21,435,700.26","20,839,064.00","21,373,622.24","20,828,944.50","20,183,264.56","20,279,206.52","20,643,975.74","19,824,910.11","20,436,907.02","20,381,975.61","20,246,770.75","20,438,606.62","19,599,344.86","19,584,869.21","19,897,860.62","18,847,105.76","19,593,425.12","20,232,552.87","20,305,201.43","20,400,826.40","21,512,109.14","22,320,728.62","22,198,283.21"
Reported Principal Payment,Tranche D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Reported Interest Payment,Tranche D,"76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10","76,226.10"
Accum Writedown,Tranche D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche D,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche D,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B,B
Ratings Order,Tranche D,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA
Original Balance,Tranche CERT,"294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00","294,117,895.00"
Current Balance,Tranche CERT,"294,124,766.97","294,120,629.70","294,122,413.21","294,119,608.10","294,118,051.65","294,121,964.66","294,119,480.22","294,120,354.33","294,120,433.97","294,119,872.05","294,119,781.94","294,123,932.33","294,118,569.41","294,122,089.71","294,118,420.43","294,118,509.63","294,120,328.05","294,120,136.63","294,120,527.01","294,120,065.63","294,120,712.52","294,118,113.78","294,118,985.72","294,118,553.31","294,122,389.68","294,123,292.96","294,121,101.48","294,122,179.33","294,119,531.24","294,119,626.97","294,118,193.84","294,119,776.22","294,118,963.51","294,119,563.60","294,117,895.00"
Factor,Tranche CERT,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Coupon,Tranche CERT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Coupon,Tranche CERT,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
Reported Interest Payment,Tranche CERT,"2,554,951.98","3,140,185.02","2,535,455.97","3,126,131.15","3,674,150.92","2,989,187.25","3,208,267.06","3,149,527.79","3,892,515.27","3,941,700.74","3,842,246.17","4,138,579.65","4,688,873.77","4,088,732.50","4,626,959.65","4,082,163.12","3,434,687.57","3,530,819.33","3,895,200.09","3,076,593.14","3,687,954.00","3,635,617.69","3,499,542.69","3,691,794.99","2,848,693.09","2,833,323.30","3,148,501.69","2,096,668.56","2,845,647.07","3,484,685.06","3,558,760.16","3,652,806.13","4,764,899.08","5,573,024.27","5,576,892.12"
Accum Writedown,Tranche CERT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Accum Interest Shortfall,Tranche CERT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Curr Ratings,Tranche CERT,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Ratings Order,Tranche CERT,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA,KBRA
Gross Coupon (Derived),Group INITIAL,30.5000,30.5000,30.4900,30.5000,30.5100,30.5200,30.5500,30.6100,30.6300,30.6400,30.6500,30.6800,30.7200,30.7200,30.7500,30.7800,30.8100,30.8500,30.8800,30.9200,30.9900,31.0700,31.1500,31.2500,31.3100,31.3600,31.4500,31.5300,31.6300,31.7500,31.8500,31.9600,32.0500,32.1600,32.2400
WAVG Amort Term,Group INITIAL,37.421515977,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,37.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,35.000000000,35.000000000,35.000000000,35.000000000,35.000000000,34.000000000,34.000000000,33.000000000,33.000000000,33.000000000,33.000000000,32.000000000,32.000000000,31.000000000
WAVG Rem Term,Group INITIAL,37.421515977,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,37.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,37.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,36.000000000,35.000000000,35.000000000,35.000000000,35.000000000,35.000000000,34.000000000,34.000000000,33.000000000,33.000000000,33.000000000,33.000000000,32.000000000,32.000000000,31.000000000
OC Target,Group INITIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OC Deficiency,Group INITIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OC Actual,Group INITIAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gross Coupon (Derived),Group REINVEST,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
OC Target,Group REINVEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OC Deficiency,Group REINVEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OC Actual,Group REINVEST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pass/Fail,Trigger Rapid Amortization Event,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Actual Value (%),SubTrigger Reinvestment Net Loss Trigger,10.050,9.410,8.780,7.960,8.060,9.100,8.320,7.380,6.370,6.310,5.430,5.270,4.920,5.400,6.280,6.890,7.730,8.160,8.560,8.840,8.510,9.230,9.930,11.060,11.350,10.810,10.270,9.820,9.610,9.110,7.720,4.950,2.130,0.500,0.310
Limit Value (%),SubTrigger Reinvestment Net Loss Trigger,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000,17.000
Pass/Fail,SubTrigger Reinvestment Net Loss Trigger,NA,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger Reinvestment Net Loss Trigger,"14,708,629.700","14,710,413.210","14,707,608.100","14,706,051.650","14,709,964.660","14,707,480.220","14,708,354.330","14,708,433.970","14,707,872.050","14,707,781.940","14,711,932.330","14,706,569.410","14,710,089.710","14,706,420.430","14,706,509.630","14,708,328.050","14,708,136.630","14,708,527.010","14,708,065.630","14,708,712.520","14,706,113.780","14,706,985.720","14,706,553.310","14,710,389.680","14,711,292.960","14,709,101.480","14,710,179.330","14,707,531.240","14,707,626.970","14,706,193.840","14,707,776.220","14,706,963.510","14,707,563.600","14,705,895.000","14,705,895.010"
Limit Value,SubTrigger Reinvestment Net Loss Trigger,"14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990","14,705,894.990"
Pass/Fail,SubTrigger Reinvestment Net Loss Trigger,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Pass/Fail,Trigger Event of Default Trigger,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Actual Value,Trigger Event of Default Trigger,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Limit Value,Trigger Event of Default Trigger,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pass/Fail,Trigger Event of Default Trigger,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
Actual Value,SubTrigger EOD Note Principal Shortfall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Limit Value,SubTrigger EOD Note Principal Shortfall,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pass/Fail,SubTrigger EOD Note Principal Shortfall,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS
